block,trt,invaded
1,ir,S
1,dt,N
1,fd,N
1,r,N
2,ir,N
2,dt,N
2,fd,N
2,r,S
3,ir,S
3,dt,S
3,fd,S
3,r,S
4,ir,N
4,dt,S
4,fd,S
4,r,N
5,ir,N
5,dt,S
5,fd,N
5,r,S
6,ir,S
6,dt,N
6,fd,S
6,r,N
7,ir,N
7,dt,N
7,fd,S
7,r,S
8,ir,N
8,dt,N
8,fd,S
8,r,S
9,ir,S
9,dt,N
9,fd,S
9,r,N
10,ir,S
10,dt,S
10,fd,N
10,r,S
11,ir,N
11,dt,N
11,fd,S
11,r,S
12,ir,N
12,dt,N
12,fd,S
12,r,S
13,ir,N
13,dt,S
13,fd,N
13,r,S
14,ir,N
14,dt,S
14,fd,N
14,r,N
15,ir,S
15,dt,N
15,fd,N
15,r,S
16,ir,N
16,dt,N
16,fd,N
16,r,N
17,ir,S
17,dt,N
17,fd,N
17,r,S
18,ir,S
18,dt,S
18,fd,S
18,r,N
19,ir,N
19,dt,N
19,fd,N
19,r,N
20,ir,N
20,dt,N
20,fd,S
20,r,S
21,ir,N
21,dt,S
21,fd,S
21,r,N
22,ir,N
22,dt,N
22,fd,S
22,r,N
23,ir,N
23,dt,N
23,fd,N
23,r,S
24,ir,S
24,dt,S
24,fd,N
24,r,S
25,ir,S
25,dt,N
25,fd,S
25,r,S
26,ir,S
26,dt,N
26,fd,N
26,r,S
27,ir,N
27,dt,S
27,fd,N
27,r,N
28,ir,S
28,dt,S
28,fd,S
28,r,S
29,ir,S
29,dt,N
29,fd,N
29,r,S
30,ir,S
30,dt,S
30,fd,N
30,r,N
31,ir,S
31,dt,S
31,fd,N
31,r,N
32,ir,S
32,dt,N
32,fd,N
32,r,N
33,ir,S
33,dt,S
33,fd,S
33,r,S
34,ir,S
34,dt,S
34,fd,S
34,r,S
35,ir,S
35,dt,N
35,fd,N
35,r,S
36,ir,S
36,dt,N
36,fd,N
36,r,N
37,ir,S
37,dt,N
37,fd,S
37,r,N
38,ir,N
38,dt,N
38,fd,N
38,r,N
39,ir,N
39,dt,S
39,fd,S
39,r,N
40,ir,S
40,dt,S
40,fd,S
40,r,N
41,ir,S
41,dt,N
41,fd,N
41,r,N
42,ir,S
42,dt,S
42,fd,S
42,r,N
43,ir,S
43,dt,N
43,fd,S
43,r,S
44,ir,S
44,dt,S
44,fd,S
44,r,N
45,ir,S
45,dt,N
45,fd,S
45,r,S
46,ir,N
46,dt,S
46,fd,S
46,r,S
47,ir,N
47,dt,N
47,fd,S
47,r,N
48,ir,S
48,dt,N
48,fd,S
48,r,S
49,ir,N
49,dt,N
49,fd,S
49,r,S
50,ir,S
50,dt,N
50,fd,S
50,r,S
51,ir,S
51,dt,N
51,fd,N
51,r,N
52,ir,N
52,dt,S
52,fd,N
52,r,N
53,ir,S
53,dt,S
53,fd,S
53,r,S
54,ir,N
54,dt,S
54,fd,S
54,r,N
55,ir,N
55,dt,N
55,fd,S
55,r,N
56,ir,N
56,dt,N
56,fd,N
56,r,S
57,ir,S
57,dt,N
57,fd,N
57,r,S
58,ir,S
58,dt,N
58,fd,N
58,r,S
59,ir,S
59,dt,N
59,fd,N
59,r,N
60,ir,N
60,dt,N
60,fd,S
60,r,S
61,ir,N
61,dt,S
61,fd,N
61,r,S
62,ir,N
62,dt,S
62,fd,N
62,r,N
63,ir,N
63,dt,N
63,fd,N
63,r,S
64,ir,N
64,dt,S
64,fd,S
64,r,S
